2021-01-13 02:49:34,855 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from YDLidar G2-1
2021-01-13 02:49:34,856 INFO  ExportHelperExtension.cs: 1136 - Found 23 in YDLidar G2-1
2021-01-13 02:49:34,857 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in YDLidar G2-1
2021-01-13 02:49:34,857 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base_link-1
2021-01-13 02:49:34,858 INFO  ExportHelperExtension.cs: 1136 - Found 87 in base_link-1
2021-01-13 02:49:34,859 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base_link-1
2021-01-13 02:49:34,859 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from IntelRealsense_D435_Multibody-1
2021-01-13 02:49:34,860 INFO  ExportHelperExtension.cs: 1136 - Found 93 in IntelRealsense_D435_Multibody-1
2021-01-13 02:49:34,861 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in IntelRealsense_D435_Multibody-1
2021-01-13 02:49:34,862 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from motor wheel-2
2021-01-13 02:49:34,863 INFO  ExportHelperExtension.cs: 1136 - Found 37 in motor wheel-2
2021-01-13 02:49:34,863 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in motor wheel-2
2021-01-13 02:49:34,866 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from PCB, MPU-9255-1
2021-01-13 02:49:35,084 INFO  ExportHelperExtension.cs: 1136 - Found 36 in PCB, MPU-9255-1
2021-01-13 02:49:35,085 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in PCB, MPU-9255-1
2021-01-13 02:49:35,852 INFO  SwAddin.cs: 339 - Loading config tree
2021-01-13 02:49:35,856 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2021-01-13 02:49:35,860 INFO  SwAddin.cs: 344 - Showing property manager
2021-01-13 02:49:57,519 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:49:57,819 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:49:57,975 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:49:58,180 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:49:58,525 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:50:12,454 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:50:40,788 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
